key;section;texte;texte_en;texte_en;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.04.services.title;Secteur 04 (Page);Vous vous posez des questions sur la santé de vos gazons; voici nos solutions :;[EN] Vous vous posez des questions sur la santé de vos gazons; voici nos solutions :;- to its recommendations and monitoring tools adapted to your situation and your needs;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.04.perspective_text;Secteur 04 (Page);"Vous faites face à de nouveaux défis économiques et environnementaux : depuis 2016, **la pyriculariose** élargit sa prolifération en France. Cette maladie du gazon, pour laquelle il n'y a **pas encore de traitement**, peut détruire un terrain en quelques semaines, et peux conduire de ce fait à des remplacements de terrains très coûteux. En parallèle, vis à vis des autres pathogènes, la loi Labbé, adoptée en 2014, **interdit l'usage des produits phytosanitaires de synthèse sur les pelouses sportives naturelles** depuis le 1er janvier, ce qui réduit les produits de traitement disponibles et vous impose de répondre aux risques à travers  de nouvelles pratiques. Comment répondre à ces défis d'une manière économiquement supportable ?

La clé d'une réponse efficace à ces deux problématiques : la **détection très précoce des pathogènes**, pour permettre des traitements localisés, ou limiter les besoins de remplacement des gazons. Encore faut-il pouvoir non seulement détecter de manière précise et précoce, encore faut-il aussi pouvoir le faire dans tous les compartiments : **les feuilles, les racines, les sols**. A défaut de quoi, si le pathogène a pu s'installer dans le sol, le seul remplacement de la pelouse ne conduira qu'à devoir le refaire de manière répétée !

IAGE, à partir de sa technologie de mesure, de ses propres innovations et en partenariat avec plusieurs partenaires académiques, a mis au point **un ensemble de solutions de détection, d'interprétation et de conseils** pour répondre à tous les cas de figure des exploitants de gazons sportifs. En travaillant sur le terrain avec ses premiers clients, IAGE a construit des **solutions clefs en main**, facilement mises en oeuvre par les exploitants, pour leur permettre de conserver dans la durée un gazon performant dans le plein respect de leurs objectifs environnementaux et économiques.

Grâce à ces études et applications engagées **depuis 2022, IAGE a développé une expertise reconnue** sur l'apparition des pathogènes et maladies du gazon, sur la manière d'évaluer la situation d'un terrain, et sur les solutions les mieux adaptées pour **anticiper les risques**.

Que vous ayez un problème ponctuel, ou que vous souhaitiez mettre en place un suivi en continu de votre gazon, IAGE a une solution pour vous : **explorez nos solutions** ou **contactez-nous pour une analyses spécifique de vos besoins**.";"[EN] Vous faites face à de nouveaux défis économiques et environnementaux : depuis 2016, **la pyriculariose** élargit sa prolifération en France. Cette maladie du gazon, pour laquelle il n'y a **pas encore de traitement**, peut détruire un terrain en quelques semaines, et peux conduire de ce fait à des remplacements de terrains très coûteux. En parallèle, vis à vis des autres pathogènes, la loi Labbé, adoptée en 2014, **interdit l'usage des produits phytosanitaires de synthèse sur les pelouses sportives naturelles** depuis le 1er janvier, ce qui réduit les produits de traitement disponibles et vous impose de répondre aux risques à travers  de nouvelles pratiques. Comment répondre à ces défis d'une manière économiquement supportable ?

La clé d'une réponse efficace à ces deux problématiques : la **détection très précoce des pathogènes**, pour permettre des traitements localisés, ou limiter les besoins de remplacement des gazons. Encore faut-il pouvoir non seulement détecter de manière précise et précoce, encore faut-il aussi pouvoir le faire dans tous les compartiments : **les feuilles, les racines, les sols**. A défaut de quoi, si le pathogène a pu s'installer dans le sol, le seul remplacement de la pelouse ne conduira qu'à devoir le refaire de manière répétée !

IAGE, à partir de sa technologie de mesure, de ses propres innovations et en partenariat avec plusieurs partenaires académiques, a mis au point **un ensemble de solutions de détection, d'interprétation et de conseils** pour répondre à tous les cas de figure des exploitants de gazons sportifs. En travaillant sur le terrain avec ses premiers clients, IAGE a construit des **solutions clefs en main**, facilement mises en oeuvre par les exploitants, pour leur permettre de conserver dans la durée un gazon performant dans le plein respect de leurs objectifs environnementaux et économiques.

Grâce à ces études et applications engagées **depuis 2022, IAGE a développé une expertise reconnue** sur l'apparition des pathogènes et maladies du gazon, sur la manière d'évaluer la situation d'un terrain, et sur les solutions les mieux adaptées pour **anticiper les risques**.

Que vous ayez un problème ponctuel, ou que vous souhaitiez mettre en place un suivi en continu de votre gazon, IAGE a une solution pour vous : **explorez nos solutions** ou **contactez-nous pour une analyses spécifique de vos besoins**.";"You are facing new economic and environmental challenges: since 2016, **pyriculariosis** has been spreading in France. This turf disease, for which there is **yet no treatment**, can destroy a pitch in a few weeks, and can therefore lead to very costly pi

The key to an effective response to these two issues: **very early detection of pathogens**, to enable localized treatments, or limit the need to replace lawns. It is also necessary to be able to not only detect them accurately and early, but also to be a

IAGE, using its measurement technology, its own innovations, and in partnership with several academic partners, has developed a set of detection, interpretation, and advisory solutions to meet all the needs of sports turf operators. Working in the field w

Thanks to these studies and applications undertaken **since 2022, IAGE has developed recognized expertise** on the appearance of lawn pathogens and diseases, on how to assess the situation on a pitch, and on the best-suited solutions to **anticipate risks

Whether you have a one-off problem or want to implement continuous monitoring of your lawn, IAGE has a solution for you: **explore our solutions** or **contact us for a specific analysis of your needs**.";;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.catalog.description;Secteur 05 (Page);Notre catalogue couvre les principaux pathogènes (Esca; Eutypiose; Black Dead Arm) et micro-organismes d'intérêt (Brettanomyces). Des analyses combinées ou sur mesure sont possibles pour vos suivis spécifiques.;[EN] Notre catalogue couvre les principaux pathogènes (Esca; Eutypiose; Black Dead Arm) et micro-organismes d'intérêt (Brettanomyces). Des analyses combinées ou sur mesure sont possibles pour vos suivis spécifiques.;Our catalog covers the main pathogens (Esca; Eutypa dieback; Black Dead Arm) and microorganisms of interest (Brettanomyces). Combined or customized analyses are available for your specific monitoring needs.;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.catalog.title;Secteur 05 (Page);Analyses Catalogue et Combinaisons Spécifiques;[EN] Analyses Catalogue et Combinaisons Spécifiques;Catalog Analyses and Specific Combinations;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.catchphrase;Secteur 05 (Page);Vous êtes un acteur de la filière vitivinicole (technicien; coopérative; négoce; institut technique) :;[EN] Vous êtes un acteur de la filière vitivinicole (technicien; coopérative; négoce; institut technique) :;You are a player in the wine industry (technician; cooperative; trade; technical institute):;;;;;;;;;;;;;;;;;;
sectors.page.05.cta.diagbox;Secteur 05 (Page);Découvrir DiagBox® Vigne & Vin;[EN] Découvrir DiagBox® Vigne & Vin;Discover DiagBox® Vine & Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.development.description;Secteur 05 (Page);Nous collaborons avec les acteurs de la filière pour développer des méthodes de détection pour de nouveaux pathogènes; des indicateurs de qualité ou des suivis spécifiques liés à des itinéraires techniques innovants.;[EN] Nous collaborons avec les acteurs de la filière pour développer des méthodes de détection pour de nouveaux pathogènes; des indicateurs de qualité ou des suivis spécifiques liés à des itinéraires techniques innovants.;We collaborate with industry stakeholders to develop detection methods for new pathogens; quality indicators or specific monitoring linked to innovative technical routes.;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.development.title;Secteur 05 (Page);Développement de Nouvelles Méthodes;[EN] Développement de Nouvelles Méthodes;Development of New Methods;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.diagbox.description;Secteur 05 (Page);Des kits clé-en-main pour un diagnostic rapide (48h) des pathogènes de la vigne ou pour le suivi des micro-organismes clés durant la vinification. Prélevez; envoyez; recevez vos résultats.;[EN] Des kits clé-en-main pour un diagnostic rapide (48h) des pathogènes de la vigne ou pour le suivi des micro-organismes clés durant la vinification. Prélevez; envoyez; recevez vos résultats.;Turnkey kits for rapid diagnosis (48 hours) of vine pathogens or for monitoring key microorganisms during winemaking. Take samples; send them; and receive your results.;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.diagbox.title;Secteur 05 (Page);DiagBox® Vigne & Vin;[EN] DiagBox® Vigne & Vin;DiagBox® Vine & Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.intro;Secteur 05 (Page);"**IAGE fournit des outils d'analyse rapides pour :**
   - le suivi sanitaire de la **vigne** (maladies du bois, mildiou, oïdium)
   - le contrôle qualité du **processus de vinification** (levures, bactéries).";[EN] IAGE fournit des outils d'analyse moléculaire pour le suivi sanitaire de la vigne (maladies du bois; mildiou; oïdium) et le contrôle qualité du processus de vinification (levures; bactéries).;"**IAGE provides molecular analysis tools for :**
   - monitoring **wineyard** health (wood diseases, mildew, powdery mildew)
   – quality control of the **winemaking process** (yeasts, bacteria).";;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.05.services.title;Secteur 05 (Page);Nos solutions pour la viticulture et la vinification :;[EN] Nos solutions pour la viticulture et la vinification :;Our solutions for wineyards and winemaking:;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.catalog.description;Secteur 06 (Page);Consultez nos analyses pour les pathogènes clés de la pomme en verger et en conservation. Des analyses combinées peuvent être réalisées pour un bilan sanitaire complet.;[EN] Consultez nos analyses pour les pathogènes clés de la pomme en verger et en conservation. Des analyses combinées peuvent être réalisées pour un bilan sanitaire complet.;Check out our testing for key apple pathogens in the orchard and in storage. Combined testing can be performed for a comprehensive health assessment.;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.catalog.title;Secteur 06 (Page);Analyses Catalogue et Combinaisons Spécifiques;[EN] Analyses Catalogue et Combinaisons Spécifiques;Catalog Analyses and Specific Combinations;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.catchphrase;Secteur 06 (Page);Vous êtes un professionnel de la filière pomme (station de conservation; coopérative; technicien; négoce) :;[EN] Vous êtes un professionnel de la filière pomme (station de conservation; coopérative; technicien; négoce) :;You are a professional in the apple industry (conservation station; cooperative; technician; trade):;;;;;;;;;;;;;;;;;;
sectors.page.06.cta.diagbox;Secteur 06 (Page);Découvrir DiagBox® Arbo Pomme;[EN] Découvrir DiagBox® Arbo Pomme;Discover DiagBox® Arbo Apple;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.development.description;Secteur 06 (Page);En lien avec les instituts techniques et les organisations professionnelles; nous développons des méthodes pour de nouvelles menaces sanitaires ou pour des suivis spécifiques liés à de nouvelles variétés ou pratiques culturales.;[EN] En lien avec les instituts techniques et les organisations professionnelles; nous développons des méthodes pour de nouvelles menaces sanitaires ou pour des suivis spécifiques liés à de nouvelles variétés ou pratiques culturales.;In conjunction with technical institutes and professional organizations; we develop methods for new health threats or for specific monitoring linked to new varieties or cultivation practices.;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.development.title;Secteur 06 (Page);Développement de Nouvelles Méthodes;[EN] Développement de Nouvelles Méthodes;Development of New Methods;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.diagbox.description;Secteur 06 (Page);Le kit clé-en-main pour détecter rapidement (48h) les principaux pathogènes responsables des maladies de conservation (ex: Gloeosporium) ou présents dans le verger. Anticipez les risques et adaptez vos stratégies.;[EN] Le kit clé-en-main pour détecter rapidement (48h) les principaux pathogènes responsables des maladies de conservation (ex: Gloeosporium) ou présents dans le verger. Anticipez les risques et adaptez vos stratégies.;The turnkey kit for rapid detection (within 48 hours) of the main pathogens responsible for storage diseases (e.g.; Gloeosporium) or present in the orchard. Anticipate risks and adapt your strategies.;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.diagbox.title;Secteur 06 (Page);DiagBox® Arbo Pomme;[EN] DiagBox® Arbo Pomme;DiagBox® Arbo Apple;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.intro;Secteur 06 (Page);"**IAGE propose des analyses pour d'optimiser la qualité et réduire les pertes, par la détection :**
   - des pathogènes affectant les **vergers** de pommiers
   - des maladies de **conservation** affectant les fruits stockés.";[EN] IAGE propose des analyses pour la détection précoce des maladies de conservation et des pathogènes affectant les vergers de pommiers; afin d'optimiser la qualité et réduire les pertes.;"**IAGE offers analyses in order to optimize quality and reduce losses, through the early detection of :**
   - pathogens affecting apple **orchards**,
   - **storage diseases** in order to optimize quality and reduce losses.";;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.06.services.title;Secteur 06 (Page);Nos solutions pour l'arboriculture (pomme) :;[EN] Nos solutions pour l'arboriculture (pomme) :;Our solutions for arboriculture (apple):;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.catalog.description;Secteur 07 (Page);Notre catalogue inclut les analyses réglementaires et de suivi pour les principaux indicateurs et pathogènes. Des combinaisons sur mesure sont possibles pour des plans de surveillance spécifiques.;[EN] Notre catalogue inclut les analyses réglementaires et de suivi pour les principaux indicateurs et pathogènes. Des combinaisons sur mesure sont possibles pour des plans de surveillance spécifiques.;Our catalog includes regulatory and monitoring analyses for key indicators and pathogens. Customized combinations are available for specific monitoring plans.;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.catalog.title;Secteur 07 (Page);Analyses Catalogue et Combinaisons Spécifiques;[EN] Analyses Catalogue et Combinaisons Spécifiques;Catalog Analyses and Specific Combinations;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.catchphrase;Secteur 07 (Page);Vous êtes un acteur de la conchyliculture (ostréiculteur; institut; collectivité) soucieux de la qualité sanitaire :;[EN] Vous êtes un acteur de la conchyliculture (ostréiculteur; institut; collectivité) soucieux de la qualité sanitaire :;You are a shellfish farming player (oyster farmer; institute; community) concerned about health quality:;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.cta.diagbox;Secteur 07 (Page);Découvrir DiagBox® Conchyliculture;[EN] Découvrir DiagBox® Conchyliculture;Discover DiagBox® Shellfish Farming;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.development.description;Secteur 07 (Page);En collaboration avec les instituts et les professionnels; nous développons de nouvelles méthodes pour la détection de pathogènes émergents; de toxines algales ou pour améliorer la rapidité et la sensibilité des analyses.;[EN] En collaboration avec les instituts et les professionnels; nous développons de nouvelles méthodes pour la détection de pathogènes émergents; de toxines algales ou pour améliorer la rapidité et la sensibilité des analyses.;In collaboration with institutes and professionals; we are developing new methods for the detection of emerging pathogens; algal toxins or to improve the speed and sensitivity of analyses.;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.development.title;Secteur 07 (Page);Développement de Nouvelles Méthodes;[EN] Développement de Nouvelles Méthodes;Development of New Methods;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.diagbox.description;Secteur 07 (Page);Le kit clé-en-main pour une surveillance rapide (48h) et autonome de la qualité de l'eau ou la recherche de pathogènes spécifiques (ex: Norovirus; Vibrio). Simple; fiable et adapté à vos autocontrôles.;[EN] Le kit clé-en-main pour une surveillance rapide (48h) et autonome de la qualité de l'eau ou la recherche de pathogènes spécifiques (ex: Norovirus; Vibrio). Simple; fiable et adapté à vos autocontrôles.;The turnkey kit for rapid (48h) and autonomous monitoring of water quality or the search for specific pathogens (e.g.; Norovirus; Vibrio). Simple; reliable; and suitable for your self-monitoring.;;;;;;;;;;;;;;;;;;;
sectors.page.07.diagbox.title;Secteur 07 (Page);DiagBox® Conchyliculture;[EN] DiagBox® Conchyliculture;DiagBox® Shellfish Farming;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.intro;Secteur 07 (Page);"**IAGE offre des solutions d'analyse rapide pour :**
   - le contrôle de la qualité microbiologique des eaux conchylicoles
   - la détection de **pathogènes humains** (virus, bactéries) pouvant affecter la **commercialisation**";[EN] IAGE offre des solutions d'analyse rapide pour le contrôle de la qualité microbiologique des eaux conchylicoles et la détection de pathogènes humains (virus; bactéries) pouvant affecter les coquillages.;"**IAGE offers rapid analysis solutions for monitoring :**
   - the microbiological quality of shellfish waters
   - detecting **human pathogens** (viruses, bacteria) that can affect shellfish.";;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.sampling.description;Secteur 07 (Page);Nous proposons également des solutions pour le prélèvement en continu des eaux; permettant un suivi dynamique et réactif de la qualité microbiologique.;[EN] Nous proposons également des solutions pour le prélèvement en continu des eaux; permettant un suivi dynamique et réactif de la qualité microbiologique.;We also offer solutions for continuous water sampling; enabling dynamic and reactive monitoring of microbiological quality.;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.sampling.title;Secteur 07 (Page);Prélèvement en continu;[EN] Prélèvement en continu;Continuous sampling;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.07.services.title;Secteur 07 (Page);Nos solutions pour la conchyliculture :;[EN] Nos solutions pour la conchyliculture :;Our solutions for shellfish farming:;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.catalog.description;Secteur 08 (Page);Consultez notre catalogue pour les analyses des pathogènes aviaires majeurs. Nous proposons des combinaisons pour des suivis multi-pathogènes ou des analyses spécifiques sur demande.;[EN] Consultez notre catalogue pour les analyses des pathogènes aviaires majeurs. Nous proposons des combinaisons pour des suivis multi-pathogènes ou des analyses spécifiques sur demande.;Consult our catalog for analyses of major avian pathogens. We offer combinations for multi-pathogen monitoring or specific analyses upon request.;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.catalog.title;Secteur 08 (Page);Analyses Catalogue et Combinaisons Spécifiques;[EN] Analyses Catalogue et Combinaisons Spécifiques;Catalog Analyses and Specific Combinations;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.catchphrase;Secteur 08 (Page);Vous êtes un acteur de la filière avicole (industrie agroalimentaire; coopérative; institut) visant la maîtrise sanitaire :;[EN] Vous êtes un acteur de la filière avicole (industrie agroalimentaire; coopérative; institut) visant la maîtrise sanitaire :;You are a player in the poultry sector (food industry; cooperative; institute) aiming for health control:;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.cta.diagbox;Secteur 08 (Page);Découvrir DiagBox® Aviculture;[EN] Découvrir DiagBox® Aviculture;Discover DiagBox® poultry sector;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.development.description;Secteur 08 (Page);Nous travaillons avec les instituts de recherche et les acteurs de la filière pour développer des méthodes innovantes pour de nouveaux pathogènes; le typage rapide de souches ou l'évaluation de stratégies de contrôle.;[EN] Nous travaillons avec les instituts de recherche et les acteurs de la filière pour développer des méthodes innovantes pour de nouveaux pathogènes; le typage rapide de souches ou l'évaluation de stratégies de contrôle.;We work with research institutes and industry stakeholders to develop innovative methods for new pathogens; rapid strain typing and the evaluation of control strategies.;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.development.title;Secteur 08 (Page);Développement de Nouvelles Méthodes;[EN] Développement de Nouvelles Méthodes;Development of New Methods;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.diagbox.description;Secteur 08 (Page);Le kit clé-en-main pour une détection rapide (48h) et fiable des pathogènes cibles directement à partir de prélèvements environnementaux (chiffonnettes; poussières) ou d'échantillons biologiques. Un outil essentiel pour vos plans de contrôle.;[EN] Le kit clé-en-main pour une détection rapide (48h) et fiable des pathogènes cibles directement à partir de prélèvements environnementaux (chiffonnettes; poussières) ou d'échantillons biologiques. Un outil essentiel pour vos plans de contrôle.;The turnkey kit for rapid (48 hours) and reliable detection of target pathogens directly from environmental samples (wipes; dust) or biological samples. An essential tool for your control plans.;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.diagbox.title;Secteur 08 (Page);DiagBox® Aviculture;[EN] DiagBox® Aviculture;DiagBox® Poultry;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.intro;Secteur 08 (Page);"**IAGE fournit des outils d'analyse rapide pour :**
   - la détection et le suivi des principaux pathogènes aviaires (Salmonella, Campylobacter, virus Influenza) dans les élevages et l'environnement.";[EN] IAGE fournit des outils d'analyse moléculaire pour la détection et le suivi des principaux pathogènes aviaires (Salmonella; Campylobacter; virus Influenza) dans les élevages et l'environnement.;"**IAGE provides molecular analysis tools for :**
   - the detection and monitoring of major avian pathogens (Salmonella, Campylobacter, Influenza virus) in farms and the environment.";;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.08.services.title;Secteur 08 (Page);Nos solutions pour la filière avicole :;[EN] Nos solutions pour la filière avicole :;Our solutions for the poultry industry:;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.title;Secteurs;Nos domaines d'activité;[EN] Nos domaines d'activité;Our areas of activity;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.button_hide_all_kits;Diagbox Buttons;Masquer tous les groupes de kits;[EN] Masquer tous les groupes de kits;Hide all kit groups;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.button_show_all_kits;Diagbox Buttons;Afficher tous les groupes de kits;[EN] Afficher tous les groupes de kits;Show all kit groups;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.cta.button;DiagBox Gazon;Contacter un expert;[EN] Contacter un expert;Contact an expert;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.cta.text;DiagBox Gazon;Pour en savoir plus sur nos DIAGBOX® ou échanger avec notre équipe; contactez-nous.;[EN] Pour en savoir plus sur nos DIAGBOX® ou échanger avec notre équipe; contactez-nous.;To learn more about our DIAGBOX® or to speak with our team; contact us.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.dechet.catchphrase;DiagBox Gazon;Des kits pour détecter les pathogènes là où ils se cachent; avant qu'ils n'affectent votre pelouse.;[EN] Des kits pour détecter les pathogènes là où ils se cachent; avant qu'ils n'affectent votre pelouse.;Kits to detect pathogens where they hide; before they affect your lawn.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.dechet.description;DiagBox Gazon;Les DIAGBOX® Déchets de tonte sont des kits de prélèvement simples d'utilisation conçus pour détecter et quantifier la présence des pathogènes ciblés. Les résultats obtenus vous permettent de mettre en place des solutions de protection et un suivi de leur efficacité. Grâce à ces données précises; vous pouvez intervenir avant même l'apparition des symptômes pour empêcher que des maladies ne s'installent sur votre gazon. Ces DIAGBOX® offrent une solution efficace pour instaurer un suivi régulier.;[EN] Les DIAGBOX® Déchets de tonte sont des kits de prélèvement simples d'utilisation conçus pour détecter et quantifier la présence des pathogènes ciblés. Les résultats obtenus vous permettent de mettre en place des solutions de protection et un suivi de leur efficacité. Grâce à ces données précises; vous pouvez intervenir avant même l'apparition des symptômes pour empêcher que des maladies ne s'installent sur votre gazon. Ces DIAGBOX® offrent une solution efficace pour instaurer un suivi régulier.;DIAGBOX® Grass Clippings are easy-to-use sampling kits designed to detect and quantify the presence of targeted pathogens. The results obtained allow you to implement protective solutions and monitor their effectiveness. Thanks to this precise data; you c;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.dechet.kits.title;DiagBox Gazon;Kits disponibles (Prélèvement Déchets de Tonte);[EN] Kits disponibles (Prélèvement Déchets de Tonte);Kits available (Grass cutting collection);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.dechet.why_use.point1;DiagBox Gazon;Caractériser et quantifier votre risque : Identifier les pathogènes avant symptômes; évaluer le risque.;[EN] Caractériser et quantifier votre risque : Identifier les pathogènes avant symptômes; évaluer le risque.;Characterize and quantify your risk: Identify pathogens before symptoms; assess risk.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.dechet.why_use.point2;DiagBox Gazon;Évaluation de l'efficacité des traitements sur la durée : Suivre l'évolution post-traitement; ajuster la stratégie.;[EN] Évaluation de l'efficacité des traitements sur la durée : Suivre l'évolution post-traitement; ajuster la stratégie.;Evaluation of the effectiveness of treatments over time: Monitor post-treatment progress; adjust the strategy.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.dechet.why_use.title;DiagBox Gazon;Pourquoi utiliser la DIAGBOX® Déchets de tonte ?;[EN] Pourquoi utiliser la DIAGBOX® Déchets de tonte ?;Why use the DIAGBOX® Grass clippings?;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q1_sub1;Diagbox Group Titles;Kits Diagbox : Contrôle Pyriculariose (précoce);[EN] Kits Diagbox : Contrôle Pyriculariose (précoce);Diagbox Kits: Pyriculariosis Control (early);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q1_sub2;Diagbox Group Titles;Kits Diagbox : Contrôle Pathogènes Courants (précoce);[EN] Kits Diagbox : Contrôle Pathogènes Courants (précoce);Diagbox Kits: Common Pathogen Control (early);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q1_sub3;Diagbox Group Titles;Kits Diagbox : Contrôle Tous Pathogènes Habituels (précoce);[EN] Kits Diagbox : Contrôle Tous Pathogènes Habituels (précoce);Diagbox Kits: Control of All Common Pathogens (early);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q1_sub4;Diagbox Group Titles;Kits Diagbox : Contrôle des Racines;[EN] Kits Diagbox : Contrôle des Racines;Diagbox Kits: Root Control;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q1_sub5;Diagbox Group Titles;Kits Diagbox : Contrôle du Sol;[EN] Kits Diagbox : Contrôle du Sol;Diagbox Kits: Ground Control;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q2_sub1;Diagbox Group Titles;Kits Diagbox : Analyse sur Gazon Symptomatique;[EN] Kits Diagbox : Analyse sur Gazon Symptomatique;Diagbox Kits: Symptomatic Lawn Analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q3;Diagbox Group Titles;Kits Diagbox : Analyse Avant Nouveau Plaquage;[EN] Kits Diagbox : Analyse Avant Nouveau Plaquage;Diagbox Kits: Analysis Before New Plating;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.group_title.q4_combined;Diagbox Group Titles;Kits combinés;[EN] Kits combinés;Combination kits;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.ideal_for.text;DiagBox Gazon;Terrain de football – Terrain de rugby –  Hippodrome – Terrain de cricket – Terrain de polo – Stade multisports;[EN] Terrain de football – Terrain de rugby –  Hippodrome – Terrain de cricket – Terrain de polo – Stade multisports;Football pitch – Rugby pitch – Racecourse – Cricket pitch – Polo pitch – Multi-sports stadium;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.ideal_for.title;DiagBox Gazon;Idéal pour;[EN] Idéal pour;Ideal for;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.kit_content.text;DiagBox Gazon;"Matériel de prélèvement
Instructions d'utilisation simples
Emballage sécurisé avec transport inclus
Analyse dPCR en laboratoire";"[EN] Matériel de prélèvement
Instructions d'utilisation simples
Emballage sécurisé avec transport inclus
Analyse dPCR en laboratoire";"Sampling equipment
Simple operating instructions
Secure packaging with transport included
PCR analysis in the laboratory";;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.kit_content.title;DiagBox Gazon;Contenu d'un kit type;[EN] Contenu d'un kit type;Contents of a standard kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.kits.PF000011.name;DiagBox Gazon;Pyriculariose;[EN] Pyriculariose - Lingette;Pyriculariosis;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.kits.PF000011.targets;DiagBox Gazon;Pyricularia Oryzae - Pyriculariose;[EN] Pyricularia Oryzae - Pyriculariose;Pyricularia Oryzae - Pyriculariosis;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.kits.PF000013.name;DiagBox Gazon;Pathogènes du gazon – Estival;[EN] Pathogènes du gazon - Estival - Lingette;Lawn Pathogens – Summer;;;;;;;;;;;;;;;;;;;;;;;;;;;
